STATION,STATION_NAME,DATE,HPCP
COOP:081048,BROOKSVILLE 7 SSW FL US,19900101 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900101 07:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900104 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900104 21:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900104 22:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900104 23:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900105 00:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900105 02:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900108 02:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900108 03:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900108 04:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900126 01:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900201 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900201 13:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900210 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900210 19:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900210 20:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900210 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900210 22:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900211 03:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900211 04:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900220 13:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900222 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 00:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 03:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 04:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 05:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 06:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 07:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 08:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 09:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 10:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900223 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900301 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900317 15:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900317 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900329 16:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900330 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900330 17:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900331 03:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900331 04:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900331 05:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900331 06:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900331 07:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900401 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900402 23:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900403 05:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900411 04:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900411 05:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900411 06:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900419 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900423 14:00,0.80
COOP:081048,BROOKSVILLE 7 SSW FL US,19900428 15:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900501 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900505 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900505 13:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900505 14:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900506 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900510 06:00,0.60
COOP:081048,BROOKSVILLE 7 SSW FL US,19900510 07:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900524 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900524 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900527 16:00,1.90
COOP:081048,BROOKSVILLE 7 SSW FL US,19900528 09:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900601 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900601 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900601 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900602 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900607 16:00,0.90
COOP:081048,BROOKSVILLE 7 SSW FL US,19900608 16:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900608 17:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900608 18:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900608 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900608 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900618 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900619 06:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900619 14:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19900619 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900622 02:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900622 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900622 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900623 08:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900623 09:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900623 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900626 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900628 16:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900630 14:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900630 16:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900701 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900701 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900701 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900702 08:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900704 14:00,1.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900704 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900704 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900704 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900707 18:00,1.60
COOP:081048,BROOKSVILLE 7 SSW FL US,19900709 14:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900710 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900711 17:00,1.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900711 18:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900711 22:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900713 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900713 13:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900713 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900713 23:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 01:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 03:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 07:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 08:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 09:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 12:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 13:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 14:00,0.90
COOP:081048,BROOKSVILLE 7 SSW FL US,19900714 15:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900715 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900715 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900717 18:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19900718 16:00,1.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900718 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900720 16:00,0.80
COOP:081048,BROOKSVILLE 7 SSW FL US,19900720 17:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900720 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900720 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900723 11:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900728 14:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19900728 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900728 17:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19900801 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900801 16:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900809 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900809 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900813 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900814 16:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19900814 17:00,1.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900814 18:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900821 13:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900823 09:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900823 10:00,2.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900823 11:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900823 13:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900824 10:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900824 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900830 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900830 21:00,1.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900901 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900904 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900916 12:00,1.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19900916 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900923 12:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900928 19:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19900928 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900929 16:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900929 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900929 18:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19900929 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19900929 22:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901001 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19901001 22:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19901001 23:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901002 09:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901010 02:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901010 03:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19901010 04:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19901010 05:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 07:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 08:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 09:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 10:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 11:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 12:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19901011 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901021 17:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19901021 18:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19901101 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19901109 17:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19901109 19:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901109 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901123 22:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19901124 00:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901124 09:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19901128 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901201 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19901207 20:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19901207 21:00,0.60
COOP:081048,BROOKSVILLE 7 SSW FL US,19901224 08:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910101 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19910111 23:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910112 00:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19910112 01:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19910112 08:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910115 15:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19910116 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910119 23:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910124 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910125 03:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910128 09:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910128 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910128 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910128 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910131 13:00,0.80
COOP:081048,BROOKSVILLE 7 SSW FL US,19910131 14:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19910131 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910201 00:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910201 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19910207 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910214 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910214 13:00,0.50
COOP:081048,BROOKSVILLE 7 SSW FL US,19910214 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910301 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19910303 09:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19910303 10:00,0.90
COOP:081048,BROOKSVILLE 7 SSW FL US,19910303 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910308 22:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910309 08:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19910309 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910309 13:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910309 16:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910316 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910316 14:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910316 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910316 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910316 21:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910317 03:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910317 10:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19910317 15:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910317 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910317 21:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19910317 22:00,0.70
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 02:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 04:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 05:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 06:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 07:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 08:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 09:00,0.80
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 10:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910318 11:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910330 03:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19910330 04:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910331 01:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910401 01:00,0.00
COOP:081048,BROOKSVILLE 7 SSW FL US,19910404 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910405 18:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19910405 21:00,0.40
COOP:081048,BROOKSVILLE 7 SSW FL US,19910405 22:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910406 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910407 10:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910410 10:00,0.30
COOP:081048,BROOKSVILLE 7 SSW FL US,19910410 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910420 03:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910420 08:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910423 12:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910423 13:00,0.80
COOP:081048,BROOKSVILLE 7 SSW FL US,19910423 14:00,0.20
COOP:081048,BROOKSVILLE 7 SSW FL US,19910423 17:00,0.10
COOP:081048,BROOKSVILLE 7 SSW FL US,19910423 18:00,0.50
