StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00010008,31.5702,-85.2482,139.0,AL,ABBEVILLE,,15,-6,19480601-20180418, 83.6%,19830510-20180418, 70.2%,20001028-20180418, 65.8%
USC00010063,34.2553,-87.1814,249.3,AL,ADDISON,,15,-6,19480601-20201014, 85.7%,19840807-20201014, 82.4%,20020910-20201014, 73.1%
USC00010140,32.2322,-87.4104,53.3,AL,ALBERTA,,15,-6,19630926-20201003, 94.3%,19920330-20201003, 91.9%,20060702-20201003, 89.6%
USC00010252,31.3071,-86.5226,76.2,AL,ANDALUSIA 3 W,,15,-6,19800301-20180205, 89.1%,19990217-20180205, 92.3%,20080812-20180205, 97.5%
USC00010369,33.2941,-85.7788,311.5,AL,ASHLAND 3 ENE,,15,-6,19480601-20130804, 84.6%,19810101-20130804, 81.4%,19970418-20130804, 70.7%
USC00010390,34.7752,-86.9508,210.0,AL,ATHENS,,15,-6,19820601-20200901, 83.1%,20010717-20200901, 89.9%,20110208-20200901, 98.7%
USC00010402,31.1820,-87.4390,91.4,AL,ATMORE,,15,-6,19480601-20201001, 62.7%,19840801-20201001, 84.2%,20020901-20201001, 90.6%
USC00010425,32.5992,-85.4653,166.1,AL,AUBURN NO.2,,15,-6,20001201-20201001, 82.8%,20101101-20201001, 95.0%,20151017-20201001, 96.7%
USC00010748,33.6971,-87.6488,150.3,AL,BERRY 3 NW,,15,-6,19480601-20201001, 78.7%,19840801-20201001, 79.7%,20020901-20201001, 81.3%
USC00010957,34.2008,-86.1633,326.1,AL,BOAZ,,15,-6,19480601-20200902, 82.0%,19840717-20200902, 72.3%,20020810-20200902, 86.3%
USC00011099,34.9786,-85.8008,202.4,AL,BRIDGEPORT 5 NW,,15,-6,19821101-20200902, 87.3%,20011002-20200902, 91.5%,20110319-20200902, 98.2%
USC00012124,32.8622,-85.7358,223.4,AL,DADEVILLE 2,,15,-6,19480601-20201002, 88.0%,19840801-20201002, 80.8%,20020901-20201002, 73.3%
USC00012172,30.2505,-88.0775,2.4,AL,DAUPHIN ISLAND #2,,15,-6,19750801-20201001, 91.8%,19980302-20201001, 88.6%,20090616-20201001, 89.3%
USC00012377,31.2833,-85.4000,95.1,AL,DOTHAN 4 NW,,15,-6,19520401-20201008, 84.4%,19860705-20201008, 82.7%,20030822-20201008, 80.4%
USC00012675,31.2975,-85.8996,102.7,AL,ENTERPRISE 4 W,,15,-6,19710401-20201001, 79.8%,19951231-20201001, 74.1%,20080516-20201001, 63.2%
USC00013043,34.4406,-85.7236,279.5,AL,FORT PAYNE,,15,-6,19480601-20200912, 85.1%,19840722-20200912, 83.3%,20020817-20200912, 95.7%
USC00013519,31.7901,-86.6087,104.2,AL,GREENVILLE,,15,-6,19710901-20201006, 88.6%,19960319-20201006, 83.6%,20080627-20201006, 91.3%
USC00013620,34.2314,-87.6352,280.4,AL,HALEYVILLE,,15,-6,19480601-20201002, 85.4%,19840801-20201002, 79.1%,20020901-20201002, 76.0%
USC00013645,34.0966,-87.9913,132.6,AL,HAMILTON 3 S,,15,-6,19671103-20201007, 82.2%,19940421-20201007, 81.5%,20070715-20201007, 91.9%
USC00014193,31.5253,-87.9277,67.1,AL,JACKSON,,15,-6,19611023-20201001, 80.9%,19910413-20201001, 86.2%,20060106-20201001, 91.9%
USC00014209,33.8259,-85.7812,192.0,AL,JACKSONVILLE,,15,-6,19480601-20201002, 82.4%,19840801-20201002, 72.5%,20020901-20201002, 75.0%
USC00015397,32.0347,-85.4740,125.6,AL,MIDWAY,,15,-6,19480601-20201001, 83.2%,19840801-20201001, 77.3%,20020901-20201001, 65.1%
USC00015553,32.2600,-86.2180,68.6,AL,MONTGOMERY 6SW,,15,-6,19980331-20201005, 88.0%,20090703-20201005, 93.9%,20150218-20201005, 99.7%
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,,15,-6,19671102-20140313, 93.5%,19910106-20140313, 93.4%,20020809-20140313, 94.5%
USC00018209,32.9205,-86.6708,207.3,AL,THORSBY EXP STATION,,15,-6,19700301-20201001, 89.3%,19950616-20201001, 90.2%,20080207-20201001, 87.4%
USC00018325,31.8351,-85.9329,168.9,AL,TROY #2,,15,-6,20120510-20201004, 95.1%,20160722-20201004, 97.9%,20180828-20201004, 97.9%
USC00018385,33.2097,-87.5936,46.3,AL,TUSCALOOSA OLIVER DAM,,15,-6,19580113-20201004, 70.6%,19890525-20201004, 57.9%,20050128-20201004, 78.0%
USC00018517,33.7392,-88.1275,90.8,AL,VERNON,,15,-6,19480601-20201001, 84.3%,19840801-20201001, 77.6%,20020901-20201001, 82.1%
USC00018670,33.7924,-86.8258,158.5,AL,WARRIOR,,15,-6,19720425-20201019, 78.2%,19960722-20201019, 82.4%,20080904-20201019, 88.4%
USC00018673,32.7747,-87.8306,33.5,AL,WARRIOR LOCK AND DAM,,15,-6,19571204-20201002, 83.6%,19890504-20201002, 81.2%,20050117-20201002, 84.1%
USC00020080,32.3698,-112.8599,533.7,AZ,AJO,,15,-7,19480701-20201001, 89.6%,19840816-20201001, 82.3%,20020908-20201001, 70.1%
USC00020487,35.1989,-112.4886,1546.9,AZ,ASH FORK 3,,15,-7,19480701-20200903, 89.0%,19840802-20200903, 86.3%,20020818-20200903, 85.2%
USC00020808,33.4783,-109.7516,1848.6,AZ,BLACK RIVER PUMPS,,15,-7,19480701-20201002, 82.5%,19840816-20201002, 72.0%,20020909-20201002, 58.3%
USC00021574,34.5400,-110.9152,2135.4,AZ,CHEVELON RANGER STATION,,15,-7,19820201-20200909, 83.9%,20010522-20200909, 79.8%,20110115-20200909, 83.4%
USC00021749,34.0500,-110.4500,1617.0,AZ,CIBECUE,,15,-7,19800701-20200820, 69.0%,20000726-20200820, 77.6%,20100808-20200820, 82.7%
USC00021870,32.0588,-109.8908,1274.1,AZ,COCHISE 4 SSE,,15,-7,19480701-20190613, 80.7%,19831222-20190613, 66.8%,20010916-20190613, 42.0%
USC00022329,34.2097,-112.3453,1804.4,AZ,CROWN KING,,15,-7,19800601-20200903, 79.1%,20000718-20200903, 73.5%,20100811-20200903, 76.6%
USC00022754,32.7480,-109.1213,1115.6,AZ,DUNCAN,,15,-7,19750828-20201013, 79.7%,19980321-20201013, 69.0%,20090702-20201013, 72.8%
