STATION,STATION_NAME,DATE,HPCP
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900101 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900101 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900104 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900108 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900108 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900108 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900115 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900115 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900120 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900120 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900120 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900121 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900121 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900125 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900125 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900125 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900125 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900125 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900126 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900126 02:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900126 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900126 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900126 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 14:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 15:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 17:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 19:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 21:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900129 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900201 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900203 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900203 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900203 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900204 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900204 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900209 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900210 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900210 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900210 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900210 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900210 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900216 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900216 22:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900301 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900301 01:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900401 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900401 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900401 09:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900501 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900501 01:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900502 19:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900502 21:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900601 00:00,999.99
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900601 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900602 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900603 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900607 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900608 10:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900608 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900618 14:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900618 19:00,0.80
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900618 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900619 12:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900622 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900624 18:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900629 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900630 16:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900630 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900701 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900705 16:00,0.60
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900711 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900711 07:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900711 08:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900711 10:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 04:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 19:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 21:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 22:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900712 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900713 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900713 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900714 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900714 16:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900714 17:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900714 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900714 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900714 20:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900715 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900715 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900715 19:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900720 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900720 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900721 20:00,0.90
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900722 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900722 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900801 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900805 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900805 21:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900806 14:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900806 15:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900806 16:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900806 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900809 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900810 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900813 18:00,0.60
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900813 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900818 21:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900819 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900819 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 00:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 03:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 04:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 05:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 06:00,0.30
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900820 08:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900821 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900821 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900822 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 00:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900823 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900901 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900913 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900913 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900916 16:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900916 18:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900919 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900919 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900919 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900921 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 06:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 07:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900922 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19900926 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901001 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901004 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19901004 18:00,0.10
