,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
0,AK,Pacific,CENTRAL NO 2,1976-05-04,1976,5,4,10.0,1.0,10.0,Spring
1,AK,Pacific,CENTRAL NO 2,1976-05-05,1976,5,5,10.0,1.0,10.0,Spring
2,AK,Pacific,CENTRAL NO 2,1976-05-08,1976,5,8,10.0,1.0,10.0,Spring
3,AK,Pacific,CENTRAL NO 2,1976-05-08,1976,5,8,10.0,1.0,10.0,Spring
4,AK,Pacific,CENTRAL NO 2,1976-05-10,1976,5,10,10.0,1.0,10.0,Spring
5,AK,Pacific,CENTRAL NO 2,1976-05-12,1976,5,12,10.0,1.0,10.0,Spring
6,AK,Pacific,CENTRAL NO 2,1976-05-15,1976,5,15,10.0,1.0,10.0,Spring
7,AK,Pacific,CENTRAL NO 2,1976-05-21,1976,5,21,10.0,1.0,10.0,Spring
8,AK,Pacific,CENTRAL NO 2,1976-05-27,1976,5,27,10.0,1.0,10.0,Spring
9,AK,Pacific,CENTRAL NO 2,1976-05-27,1976,5,27,10.0,1.0,10.0,Spring
10,AK,Pacific,CENTRAL NO 2,1976-05-28,1976,5,28,10.0,1.0,10.0,Spring
11,AK,Pacific,CENTRAL NO 2,1976-05-29,1976,5,29,10.0,1.0,10.0,Spring
12,AK,Pacific,CENTRAL NO 2,1976-05-29,1976,5,29,10.0,1.0,10.0,Spring
13,AK,Pacific,CENTRAL NO 2,1976-05-30,1976,5,30,10.0,1.0,10.0,Spring
14,AK,Pacific,EAGLE,1976-01-20,1976,1,20,10.0,1.0,10.0,Winter
15,AK,Pacific,EAGLE,1976-01-21,1976,1,21,10.0,1.0,10.0,Winter
16,AK,Pacific,EAGLE,1976-01-21,1976,1,21,10.0,1.0,10.0,Winter
17,AK,Pacific,EAGLE,1976-01-21,1976,1,21,10.0,1.0,10.0,Winter
18,AK,Pacific,EAGLE,1976-01-25,1976,1,25,10.0,1.0,10.0,Winter
19,AK,Pacific,EAGLE,1976-01-27,1976,1,27,10.0,1.0,10.0,Winter
20,AK,Pacific,KENNY LAKE 7SE,2003-02-17,2003,2,17,1.0,1.0,1.0,Winter
21,AK,Pacific,KENNY LAKE 7SE,2005-05-14,2005,5,14,30.0,2.0,15.0,Spring
22,AK,Pacific,KENNY LAKE 7SE,2005-05-17,2005,5,17,10.0,1.0,10.0,Spring
23,AK,Pacific,KENNY LAKE 7SE,2005-05-19,2005,5,19,10.0,1.0,10.0,Spring
24,AK,Pacific,KENNY LAKE 7SE,2005-05-19,2005,5,19,20.0,2.0,10.0,Spring
25,AK,Pacific,KENNY LAKE 7SE,2005-06-05,2005,6,5,10.0,1.0,10.0,Summer
26,AK,Pacific,KENNY LAKE 7SE,2005-06-06,2005,6,6,10.0,1.0,10.0,Summer
