,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
0,CT,Northeast,NORFOLK 2 SW,1948-05-05,1948,5,5,8.0,5.0,1.6,Spring
1,CT,Northeast,NORFOLK 2 SW,1948-05-07,1948,5,7,37.0,6.0,6.166666666666667,Spring
2,CT,Northeast,NORFOLK 2 SW,1948-05-07,1948,5,7,1.0,1.0,1.0,Spring
3,CT,Northeast,NORFOLK 2 SW,1948-05-08,1948,5,8,17.0,6.0,2.8333333333333335,Spring
4,CT,Northeast,NORFOLK 2 SW,1948-05-12,1948,5,12,2.0,2.0,1.0,Spring
5,CT,Northeast,NORFOLK 2 SW,1948-05-13,1948,5,13,21.0,5.0,4.2,Spring
6,CT,Northeast,NORFOLK 2 SW,1948-05-13,1948,5,13,27.0,10.0,2.7,Spring
7,CT,Northeast,NORFOLK 2 SW,1948-05-13,1948,5,13,1.0,1.0,1.0,Spring
8,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
9,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
10,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
11,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
12,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,5.0,2.0,2.5,Spring
13,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
14,CT,Northeast,NORFOLK 2 SW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
15,CT,Northeast,NORFOLK 2 SW,1948-05-16,1948,5,16,69.0,13.0,5.3076923076923075,Spring
16,CT,Northeast,NORFOLK 2 SW,1948-05-16,1948,5,16,1.0,1.0,1.0,Spring
17,CT,Northeast,NORFOLK 2 SW,1948-05-17,1948,5,17,1.0,1.0,1.0,Spring
18,CT,Northeast,NORFOLK 2 SW,1948-05-17,1948,5,17,1.0,1.0,1.0,Spring
19,CT,Northeast,NORFOLK 2 SW,1948-05-17,1948,5,17,2.0,1.0,2.0,Spring
20,CT,Northeast,NORFOLK 2 SW,1948-05-17,1948,5,17,5.0,2.0,2.5,Spring
21,CT,Northeast,NORFOLK 2 SW,1948-05-17,1948,5,17,1.0,1.0,1.0,Spring
22,CT,Northeast,NORFOLK 2 SW,1948-05-17,1948,5,17,39.0,3.0,13.0,Spring
23,CT,Northeast,NORFOLK 2 SW,1948-05-18,1948,5,18,16.0,3.0,5.333333333333333,Spring
24,CT,Northeast,NORFOLK 2 SW,1948-05-21,1948,5,21,5.0,2.0,2.5,Spring
25,CT,Northeast,NORFOLK 2 SW,1948-05-21,1948,5,21,3.0,2.0,1.5,Spring
26,CT,Northeast,NORFOLK 2 SW,1948-05-21,1948,5,21,1.0,1.0,1.0,Spring
27,CT,Northeast,NORFOLK 2 SW,1948-05-21,1948,5,21,31.0,8.0,3.875,Spring
28,CT,Northeast,NORFOLK 2 SW,1948-05-22,1948,5,22,11.0,4.0,2.75,Spring
29,CT,Northeast,NORFOLK 2 SW,1948-05-23,1948,5,23,17.0,4.0,4.25,Spring
30,CT,Northeast,NORFOLK 2 SW,1948-05-24,1948,5,24,3.0,2.0,1.5,Spring
31,CT,Northeast,NORFOLK 2 SW,1948-05-25,1948,5,25,15.0,4.0,3.75,Spring
32,CT,Northeast,NORFOLK 2 SW,1948-05-25,1948,5,25,1.0,1.0,1.0,Spring
