,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
0,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-05,1979,6,5,10.0,1.0,10.0,Summer
1,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-11,1979,6,11,10.0,1.0,10.0,Summer
2,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-11,1979,6,11,10.0,1.0,10.0,Summer
3,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-17,1979,6,17,10.0,1.0,10.0,Summer
4,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-17,1979,6,17,10.0,1.0,10.0,Summer
5,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-22,1979,6,22,10.0,1.0,10.0,Summer
6,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-29,1979,6,29,20.0,2.0,10.0,Summer
7,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-30,1979,6,30,60.0,1.0,60.0,Summer
8,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-06-30,1979,6,30,10.0,1.0,10.0,Summer
9,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-01,1979,7,1,40.0,2.0,20.0,Summer
10,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-01,1979,7,1,10.0,1.0,10.0,Summer
11,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-04,1979,7,4,10.0,1.0,10.0,Summer
12,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-04,1979,7,4,30.0,2.0,15.0,Summer
13,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-04,1979,7,4,10.0,1.0,10.0,Summer
14,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-13,1979,7,13,60.0,2.0,30.0,Summer
15,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-14,1979,7,14,20.0,2.0,10.0,Summer
16,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-14,1979,7,14,10.0,1.0,10.0,Summer
17,MD,Northeast,ABERDEEN PHILLIPS FLD,1979-07-21,1979,7,21,10.0,1.0,10.0,Summer
