,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
0,NJ,Northeast,CAPE MAY 2 NW,1948-05-03,1948,5,3,36.0,2.0,18.0,Spring
1,NJ,Northeast,CAPE MAY 2 NW,1948-05-04,1948,5,4,10.0,3.0,3.3333333333333335,Spring
2,NJ,Northeast,CAPE MAY 2 NW,1948-05-05,1948,5,5,130.0,9.0,14.444444444444445,Spring
3,NJ,Northeast,CAPE MAY 2 NW,1948-05-05,1948,5,5,1.0,1.0,1.0,Spring
4,NJ,Northeast,CAPE MAY 2 NW,1948-05-07,1948,5,7,23.0,3.0,7.666666666666667,Spring
5,NJ,Northeast,CAPE MAY 2 NW,1948-05-07,1948,5,7,8.0,2.0,4.0,Spring
6,NJ,Northeast,CAPE MAY 2 NW,1948-05-12,1948,5,12,13.0,1.0,13.0,Spring
7,NJ,Northeast,CAPE MAY 2 NW,1948-05-13,1948,5,13,9.0,2.0,4.5,Spring
8,NJ,Northeast,CAPE MAY 2 NW,1948-05-13,1948,5,13,22.0,2.0,11.0,Spring
9,NJ,Northeast,CAPE MAY 2 NW,1948-05-13,1948,5,13,2.0,1.0,2.0,Spring
10,NJ,Northeast,CAPE MAY 2 NW,1948-05-13,1948,5,13,169.0,7.0,24.142857142857142,Spring
11,NJ,Northeast,CAPE MAY 2 NW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
12,NJ,Northeast,CAPE MAY 2 NW,1948-05-14,1948,5,14,1.0,1.0,1.0,Spring
13,NJ,Northeast,CAPE MAY 2 NW,1948-05-16,1948,5,16,27.0,3.0,9.0,Spring
14,NJ,Northeast,CAPE MAY 2 NW,1948-05-16,1948,5,16,18.0,3.0,6.0,Spring
15,NJ,Northeast,CAPE MAY 2 NW,1948-05-17,1948,5,17,15.0,3.0,5.0,Spring
16,NJ,Northeast,CAPE MAY 2 NW,1948-05-17,1948,5,17,50.0,4.0,12.5,Spring
17,NJ,Northeast,CAPE MAY 2 NW,1948-05-17,1948,5,17,1.0,1.0,1.0,Spring
18,NJ,Northeast,CAPE MAY 2 NW,1948-05-17,1948,5,17,1.0,1.0,1.0,Spring
19,NJ,Northeast,CAPE MAY 2 NW,1948-05-17,1948,5,17,12.0,3.0,4.0,Spring
20,NJ,Northeast,CAPE MAY 2 NW,1948-05-20,1948,5,20,1.0,1.0,1.0,Spring
21,NJ,Northeast,CAPE MAY 2 NW,1948-05-21,1948,5,21,11.0,4.0,2.75,Spring
22,NJ,Northeast,CAPE MAY 2 NW,1948-05-25,1948,5,25,5.0,2.0,2.5,Spring
23,NJ,Northeast,CAPE MAY 2 NW,1948-05-26,1948,5,26,82.0,14.0,5.857142857142857,Spring
24,NJ,Northeast,CAPE MAY 2 NW,1948-05-31,1948,5,31,77.0,15.0,5.133333333333334,Spring
25,NJ,Northeast,CAPE MAY 2 NW,1948-06-03,1948,6,3,37.0,6.0,6.166666666666667,Summer
26,NJ,Northeast,CAPE MAY 2 NW,1948-06-03,1948,6,3,1.0,1.0,1.0,Summer
27,NJ,Northeast,CAPE MAY 2 NW,1948-06-03,1948,6,3,5.0,3.0,1.6666666666666667,Summer
28,NJ,Northeast,CAPE MAY 2 NW,1948-06-07,1948,6,7,24.0,4.0,6.0,Summer
29,NJ,Northeast,CAPE MAY 2 NW,1948-06-07,1948,6,7,2.0,2.0,1.0,Summer
30,NJ,Northeast,CAPE MAY 2 NW,1948-06-07,1948,6,7,53.0,2.0,26.5,Summer
31,NJ,Northeast,CAPE MAY 2 NW,1948-06-08,1948,6,8,3.0,3.0,1.0,Summer
