,State,Region,Station,Date,Year,Month,Day,Volume,Duration,Intensity,Season
0,NV,Pacific,ELGIN,1951-04-05,1951,4,5,35.0,4.0,8.75,Spring
1,NV,Pacific,ELGIN,1951-04-19,1951,4,19,10.0,4.0,2.5,Spring
2,NV,Pacific,ELGIN,1951-04-19,1951,4,19,50.0,6.0,8.333333333333334,Spring
3,NV,Pacific,ELGIN,1951-04-19,1951,4,19,2.0,1.0,2.0,Spring
4,NV,Pacific,ELGIN,1951-04-20,1951,4,20,41.0,3.0,13.666666666666666,Spring
5,NV,Pacific,ELGIN,1951-04-25,1951,4,25,42.0,8.0,5.25,Spring
6,NV,Pacific,ELGIN,1951-04-25,1951,4,25,23.0,2.0,11.5,Spring
7,NV,Pacific,ELGIN,1951-04-25,1951,4,25,1.0,1.0,1.0,Spring
8,NV,Pacific,ELGIN,1951-04-26,1951,4,26,31.0,6.0,5.166666666666667,Spring
9,NV,Pacific,ELGIN,1951-04-26,1951,4,26,2.0,2.0,1.0,Spring
10,NV,Pacific,ELGIN,1951-04-26,1951,4,26,1.0,1.0,1.0,Spring
11,NV,Pacific,ELGIN,1951-04-28,1951,4,28,1.0,1.0,1.0,Spring
12,NV,Pacific,ELGIN,1951-04-28,1951,4,28,4.0,3.0,1.3333333333333333,Spring
13,NV,Pacific,ELGIN,1951-04-28,1951,4,28,17.0,3.0,5.666666666666667,Spring
14,NV,Pacific,ELGIN,1951-04-29,1951,4,29,27.0,7.0,3.857142857142857,Spring
15,NV,Pacific,ELGIN,1951-04-29,1951,4,29,6.0,5.0,1.2,Spring
16,NV,Pacific,ELGIN,1951-05-15,1951,5,15,10.0,3.0,3.3333333333333335,Spring
17,NV,Pacific,ELGIN,1951-05-15,1951,5,15,5.0,2.0,2.5,Spring
18,NV,Pacific,ELGIN,1951-05-15,1951,5,15,5.0,4.0,1.25,Spring
19,NV,Pacific,ELGIN,1951-08-01,1951,8,1,23.0,3.0,7.666666666666667,Summer
