"STATION","DATE","HR00Val","HR01Val","HR02Val","HR03Val","HR04Val","HR05Val","HR06Val","HR07Val","HR08Val","HR09Val","HR10Val","HR11Val","HR12Val","HR13Val","HR14Val","HR15Val","HR16Val","HR17Val","HR18Val","HR19Val","HR20Val","HR21Val","HR22Val","HR23Val"
"USC00177827","1948-05-01","5","7","6","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","5","14","6","8"
"USC00177827","1948-05-08","10","14","4","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-12","0","0","2","3","0","4","6","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-14","0","0","0","0","0","0","0","0","0","0","0","5","7","3","5","2","3","5","5","5","5","5","9","5"
"USC00177827","1948-05-15","11","18","17","15","24","10","1","4","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-17","0","0","0","1","4","5","4","6","5","5","11","14","11","10","15","11","3","3","2","1","2","1","1","5"
"USC00177827","1948-05-18","5","10","13","28","27","17","4","3","2","1","1","7","2","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","4","1","0","0","0","0","1","1"
"USC00177827","1948-05-22","2","1","1","11","17","16","19","7","3","21","16","14","2","5","2","1","0","0","0","0","0","0","0","0"
"USC00177827","1948-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","1","1","0"
