"STATION","DATE","HR00Val","HR01Val","HR02Val","HR03Val","HR04Val","HR05Val","HR06Val","HR07Val","HR08Val","HR09Val","HR10Val","HR11Val","HR12Val","HR13Val","HR14Val","HR15Val","HR16Val","HR17Val","HR18Val","HR19Val","HR20Val","HR21Val","HR22Val","HR23Val"
"USW00094850","1979-02-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"USW00094850","1979-02-03","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","2"
"USW00094850","1979-02-04","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USW00094850","1979-02-06","0","1","0","0","1","0","0","0","2","0","2","2","0","0","0","0","0","0","1","0","0","0","0","0"
"USW00094850","1979-02-07","0","0","0","0","0","0","1","0","0","0","1","4","4","2","1","1","1","0","0","1","0","0","0","1"
"USW00094850","1979-02-08","2","1","1","1","1","2","2","2","2","1","1","2","2","0","2","2","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-10","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-12","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-13","2","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00094850","1979-02-14","0","2","3","3","3","2","1","2","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0"
