"STATION","DATE","HR00Val","HR01Val","HR02Val","HR03Val","HR04Val","HR05Val","HR06Val","HR07Val","HR08Val","HR09Val","HR10Val","HR11Val","HR12Val","HR13Val","HR14Val","HR15Val","HR16Val","HR17Val","HR18Val","HR19Val","HR20Val","HR21Val","HR22Val","HR23Val"
"USW00024037","2019-02-24","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-02-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-02-26","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-02-27","0","0","0","0","0","0","0","0","2","3","2","2","3","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-02-28","0","0","0","0","0","0","0","1","1","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-01","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-03","0","0","0","0","0","0","39","2","3","3","4","2","2","1","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-04","0","0","0","0","0","0","0","0","2","5","3","1","2","0","1","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-07","0","1","1","0","0","0","0","0","1","2","-9999","1","1","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-08","0","0","0","1","0","0","0","1","1","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"USW00024037","2019-03-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
