"STATION","DATE","HR00Val","HR01Val","HR02Val","HR03Val","HR04Val","HR05Val","HR06Val","HR07Val","HR08Val","HR09Val","HR10Val","HR11Val","HR12Val","HR13Val","HR14Val","HR15Val","HR16Val","HR17Val","HR18Val","HR19Val","HR20Val","HR21Val","HR22Val","HR23Val"
"USC00286964","2018-04-27","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","0","0","0","0","0"
"USC00286964","2018-04-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","3"
"USC00286964","2018-04-29","5","1","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-04-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"USC00286964","2018-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0"
"USC00286964","2018-05-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"USC00286964","2018-05-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-12","0","0","0","2","8","21","4","7","0","0","0","0","0","0","0","0","0","0","0","29","24","4","0","0"
"USC00286964","2018-05-13","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","1","3","4"
"USC00286964","2018-05-14","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"USC00286964","2018-05-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","5","12","2","2","1"
"USC00286964","2018-05-16","0","0","0","0","0","0","1","0","2","4","2","0","0","1","1","1","0","1","1","3","2","1","5","2"
"USC00286964","2018-05-17","1","0","1","34","4","2","0","0","0","1","1","2","5","0","3","1","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-18","0","0","0","0","0","0","1","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USC00286964","2018-05-19","0","0","2","8","4","4","2","2","2","7","13","12","1","0","0","0","0","9","2","0","0","0","0","0"
"USC00286964","2018-05-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"USC00286964","2018-05-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-22","0","0","0","0","0","0","0","0","0","0","0","3","3","1","29","6","0","0","1","0","0","0","0","0"
"USC00286964","2018-05-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"USC00286964","2018-05-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","3","0","0"
"USC00286964","2018-05-27","0","0","0","0","0","0","0","0","10","51","24","5","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"USC00286964","2018-05-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-05-31","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-01","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"USC00286964","2018-06-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","0","0","0","0","10","97","0"
"USC00286964","2018-06-03","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","14","20","11","0"
"USC00286964","2018-06-04","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"USC00286964","2018-06-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","0","0"
"USC00286964","2018-06-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","9","2","8","1","0","0","26","104"
"USC00286964","2018-06-11","213","77","12","9","12","6","7","3","1","4","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
"USC00286964","2018-06-12","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0"
"USC00286964","2018-06-13","0","0","0","0","0","0","0","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-14","0","0","0","0","0","0","0","9","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0"
"USC00286964","2018-06-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00286964","2018-06-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USC00286964","2018-06-20","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","5","0","0","0"
"USC00286964","2018-06-21","0","3","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","0"
"USC00286964","2018-06-22","0","0","0","0","0","0","2","0","1","0","0","0","0","0","1","1","1","0","0","1","1","7","2","0"
"USC00286964","2018-06-23","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
