"STATION","DATE","HR00Val","HR01Val","HR02Val","HR03Val","HR04Val","HR05Val","HR06Val","HR07Val","HR08Val","HR09Val","HR10Val","HR11Val","HR12Val","HR13Val","HR14Val","HR15Val","HR16Val","HR17Val","HR18Val","HR19Val","HR20Val","HR21Val","HR22Val","HR23Val"
"USC00448085","2020-02-13","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","101","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-16","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-18","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"USC00448085","2020-02-19","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-22","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-24","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"USC00448085","2020-02-25","1","0","0","0","1","3","3","7","6","4","3","3","0","0","0","0","0","0","0","0","0","0","1","0"
"USC00448085","2020-02-26","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","30"
"USC00448085","2020-02-27","36","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-28","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-02-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-02","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4"
"USC00448085","2020-03-03","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"USC00448085","2020-03-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-06","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0"
"USC00448085","2020-03-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-10","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"USC00448085","2020-03-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-13","0","1","10","15","7","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","3","3"
"USC00448085","2020-03-15","4","2","1","0","2","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-16","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USC00448085","2020-03-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3"
"USC00448085","2020-03-19","6","1","11","14","6","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"USC00448085","2020-03-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-23","0","1","4","3","1","2","1","1","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-25","0","1","0","0","1","2","1","0","0","4","8","9","1","1","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USC00448085","2020-03-27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-28","1","0","14","4","0","8","2","2","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-29","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-03-31","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","7","1","3","0"
"USC00448085","2020-04-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-07","0","0","1","0","0","0","0","1","0","0","0","0","0","0","3","23","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-08","0","1","0","0","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-09","1","0","0","0","0","6","10","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-10","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-12","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","5","3","7"
"USC00448085","2020-04-13","9","5","5","30","40","10","28","21","5","2","1","12","3","0","3","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","11","8"
"USC00448085","2020-04-15","3","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-17","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"USC00448085","2020-04-18","0","0","0","0","1","2","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-19","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-23","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","7","7","7","7","11","4","1"
"USC00448085","2020-04-24","0","0","1","4","4","7","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","6","2"
"USC00448085","2020-04-26","2","0","1","20","18","2","0","1","1","0","1","1","0","0","0","0","0","0","2","0","5","2","0","0"
"USC00448085","2020-04-27","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-04-28","0","0","1","0","0","0","0","1","0","0","0","0","3","3","2","1","1","1","0","0","0","0","0","0"
"USC00448085","2020-04-29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"USC00448085","2020-04-30","0","0","0","0","0","2","9","15","15","18","13","19","10","4","4","7","8","5","0","0","0","0","18","11"
"USC00448085","2020-05-01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-03","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","14","62","12"
"USC00448085","2020-05-04","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-05","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","5","21","8","1"
"USC00448085","2020-05-06","1","0","1","0","0","1","1","3","2","0","1","8","1","6","0","0","0","0","0","0","0","0","1","0"
"USC00448085","2020-05-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-08","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","2","2","8","0","0","0"
"USC00448085","2020-05-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-11","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-14","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","0"
"USC00448085","2020-05-15","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"USC00448085","2020-05-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00448085","2020-05-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
