"STATION","DATE","HR00Val","HR01Val","HR02Val","HR03Val","HR04Val","HR05Val","HR06Val","HR07Val","HR08Val","HR09Val","HR10Val","HR11Val","HR12Val","HR13Val","HR14Val","HR15Val","HR16Val","HR17Val","HR18Val","HR19Val","HR20Val","HR21Val","HR22Val","HR23Val"
"USC00678360","2006-10-07","-9999","-9999","-9999","-9999","-9999","-9999","1","1","2","0","6","0","6","0","1","6","0","6","2","2","0","0","0","1"
"USC00678360","2006-10-08","0","0","0","0","0","0","1","2","4","2","0","0","0","0","0","0","5","0","3","3","1","0","0","0"
"USC00678360","2006-10-09","0","0","0","0","0","0","1","1","2","2","4","2","0","0","8","1","2","0","2","2","4","0","0","0"
"USC00678360","2006-10-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-10-11","3","4","0","0","2","3","2","1","2","0","0","3","1","0","16","2","0","0","4","1","0","0","10","8"
"USC00678360","2006-10-12","7","13","1","0","0","0","2","2","2","0","1","3","0","0","1","1","0","0","2","2","1","0","0","0"
"USC00678360","2006-10-13","0","0","0","0","0","0","0","3","0","0","1","3","3","0","3","0","0","4","14","2","2","0","1","1"
"USC00678360","2006-10-14","0","1","0","0","0","0","1","2","1","0","2","3","60","54","38","18","1","0","0","0","0","0","0","0"
"USC00678360","2006-10-15","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","7","4","7","2","1","1","0","0"
"USC00678360","2006-10-17","0","0","0","0","0","-9999","-9999","0","0","10","1","3","3","0","0","3","0","9","5","2","1","0","3","0"
"USC00678360","2006-10-18","0","0","0","9","18","0","0","1","0","0","0","3","6","11","4","2","4","1","11","12","8","11","8","24"
"USC00678360","2006-10-19","18","51","5","22","8","2","0","4","20","0","5","0","0","0","0","3","0","2","3","1","0","0","0","4"
"USC00678360","2006-10-23","0","1","0","0","2","0","1","1","4","0","0","0","1","0","1","3","5","4","5","7","3","1","2","0"
"USC00678360","2006-10-28","0","0","2","1","0","1","1","0","0","2","0","1","12","0","0","7","2","3","7","6","5","1","1","0"
"USC00678360","2006-10-30","0","0","1","1","7","3","10","24","3","2","12","3","4","2","12","4","7","11","8","7","1","1","0","0"
"USC00678360","2006-11-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USC00678360","2006-11-23","0","0","0","0","0","1","0","1","0","0","0","0","4","0","0","0","4","1","3","2","1","0","0","0"
